VariableID,Term1,Offset1,Mean1,SD1,Lambda1,Threshold1,Transform1ID,Transform1,Term2,Offset2,Mean2,SD2,Lambda2,Threshold2,Transform2ID,Transform2
V1,T17,0,,,,,7,Square,T23,1,41.48354383,25.42522025,,,11,AbsNormal
V2,T13,0,19.24060158,3.252666105,,,11,AbsNormal,T5,1,,,,,7,Square
V3,T11,1,,,-1.672464178,,10,BoxCox,T32,1,,,,,7,Square
V4,T3A,1.21267,,,,,8,SquareRoot,T22,1,,,,,4,Log10
V5,T3B,1.21267,1.227812223,0.068973251,,,11,AbsNormal,T10A,0,,,,0.34,3,Reciprocal
V6,T2,0,,,,,9,CubeRoot,T10B,0,,,-0.273900712,,10,BoxCox
V7,T1,1.25796,1.293923929,0.095168782,,,11,AbsNormal,T10C,0,,,,0.55,3,Reciprocal
V8,T27,0,,,,0.19,3,Reciprocal,T18,1.15477,15.15094009,5.559321971,,,2,Normalize
V9,T8,0,,,,,7,Square,T26,0,,,,,6,InverseHyperbolicSine
V10,T9,0,,,,,6,InverseHyperbolicSine,T7,1,,,-2.590456195,,10,BoxCox
V11,T31,1,1.079542462,0.069523896,,,2,Normalize,T21,0,1784.56696,246.0924325,,,2,Normalize
V12,T19,2.32997,,,,,7,Square,T24,1,1.656641018,0.356452718,,,11,AbsNormal
V13,T3C,1.24469,,,,,7,Square,T32,1,,,-1.477884545,,10,BoxCox
V14,T14,9.24834,,,,1,3,Reciprocal,T7,1,,,-2.590456195,,10,BoxCox
V15,T20,1.75798,,,,,1,Untransformed,T25,1,,,,None,3,Reciprocal
V16,T16,0,,,-0.399426271,,10,BoxCox,T29,0,,,,0.12,3,Reciprocal
V17,T15,0,,,,,4,Log10,T28A,7.87137,5.543632798,1.139957719,,,2,Normalize
V18,T12,1,,,-3.967053516,,10,BoxCox,T28B,7.69814,,,2.806021755,,10,BoxCox
V19,T4,1.16171,,,,,4,Log10,T11,1,,,-1.672464178,,10,BoxCox
V20,T30,0,,,-0.202754798,,10,BoxCox,T6,1,,,,None,3,Reciprocal
